epoch,loss,offset_loss,onset_loss,val_loss,val_offset_loss,val_onset_loss
0,1.0623762607574463,0.12888512015342712,0.9334915280342102,0.8935669660568237,0.03467252105474472,0.858894407749176
1,0.9275904893875122,0.022544730454683304,0.9050461053848267,0.8530181646347046,0.014017143286764622,0.8390008807182312
2,0.8705671429634094,0.01805436983704567,0.8525128364562988,0.7879711389541626,0.01776609942317009,0.7702050805091858
3,0.7874726057052612,0.015888653695583344,0.7715840339660645,0.756336510181427,0.011994644068181515,0.7443417310714722
4,0.7306463718414307,0.01385287195444107,0.7167936563491821,0.6469604969024658,0.011946668848395348,0.6350139379501343
5,0.6817110180854797,0.013035331852734089,0.6686758399009705,0.6161720156669617,0.011987448669970036,0.6041845679283142
6,0.6587098836898804,0.013699057511985302,0.6450105905532837,0.6073023080825806,0.011715097352862358,0.5955873131752014
7,0.6577170491218567,0.012693235650658607,0.6450237035751343,0.6012848019599915,0.011676863767206669,0.589607834815979
8,0.6416273713111877,0.013054571114480495,0.628572940826416,0.6155960559844971,0.012746988795697689,0.6028488278388977
9,0.6168039441108704,0.013062546029686928,0.6037412881851196,0.6026929616928101,0.013582450337707996,0.5891103744506836
10,0.6353906393051147,0.013196169398725033,0.6221945285797119,0.5618716478347778,0.012460920959711075,0.5494108200073242
11,0.6232079863548279,0.01330712903290987,0.6099007725715637,0.5800656080245972,0.011383241042494774,0.5686823129653931
12,0.6185047626495361,0.013264153152704239,0.6052404642105103,0.5599151253700256,0.011296963319182396,0.5486182570457458
13,0.5846605896949768,0.012758093886077404,0.571902334690094,0.5717712044715881,0.012281299568712711,0.5594898462295532
14,0.609744668006897,0.012722987681627274,0.5970216989517212,0.5558077692985535,0.011496594175696373,0.5443112850189209
15,0.5708038806915283,0.012369944714009762,0.558434009552002,0.534351110458374,0.011586261913180351,0.5227648019790649
16,0.583047091960907,0.012670603580772877,0.5703765749931335,0.5451413989067078,0.011163387447595596,0.5339779853820801
17,0.5923168063163757,0.012281069532036781,0.5800357460975647,0.5735504031181335,0.011242278851568699,0.5623079538345337
18,0.5599237680435181,0.01239136140793562,0.5475321412086487,0.5396687984466553,0.011136050336062908,0.5285328030586243
