epoch,active_loss,loss,offset_loss,onset_loss,val_active_loss,val_loss,val_offset_loss,val_onset_loss
0,0.6296567320823669,0.8176866769790649,0.08698350191116333,0.10104653984308243,0.5616898536682129,0.588285505771637,0.012870789505541325,0.013724807649850845
1,0.6065953969955444,0.6357312798500061,0.0139396283775568,0.015196332708001137,0.5695749521255493,0.5950228571891785,0.011675289832055569,0.013772672042250633
2,0.5988433957099915,0.6275007724761963,0.013550604693591595,0.01510674599558115,0.5593260526657104,0.5902175903320312,0.013838852755725384,0.01705268956720829
3,0.5885642766952515,0.6199292540550232,0.014465898275375366,0.016899190843105316,0.5492823123931885,0.5805659294128418,0.014149495400488377,0.01713412068784237
4,0.5825890302658081,0.6156620383262634,0.015028382651507854,0.018044589087367058,0.5419665575027466,0.576494574546814,0.01485296618193388,0.01967497542500496
5,0.5682597160339355,0.6004484295845032,0.014236930757761002,0.017951851710677147,0.5365694761276245,0.5683274865150452,0.013809878379106522,0.017948191612958908
6,0.565436601638794,0.5943518877029419,0.013445215299725533,0.015469959005713463,0.5274586081504822,0.5513917803764343,0.011036715470254421,0.012896444648504257
7,0.5597501993179321,0.585275411605835,0.012098502367734909,0.013426517136394978,0.5374313592910767,0.5605520009994507,0.010805175639688969,0.012315666303038597
8,0.550259530544281,0.5755129456520081,0.012185505591332912,0.013068074360489845,0.498970627784729,0.5232875347137451,0.011973951011896133,0.012342997826635838
9,0.5090920925140381,0.5352031588554382,0.012802248820662498,0.013308550231158733,0.46402087807655334,0.4883410930633545,0.011662202887237072,0.012658048421144485
10,0.4846090078353882,0.5115904808044434,0.01304678525775671,0.013934772461652756,0.46656373143196106,0.4899473488330841,0.011450673453509808,0.011932885274291039
11,0.47125446796417236,0.49717503786087036,0.012825097888708115,0.013095409609377384,0.46146729588508606,0.4847380518913269,0.01136469841003418,0.011906079947948456
12,0.4642796218395233,0.490141361951828,0.012916580773890018,0.012945184484124184,0.45139679312705994,0.4759320020675659,0.012151206843554974,0.012384120374917984
13,0.4431285560131073,0.4681449830532074,0.012528201565146446,0.012488224543631077,0.41260582208633423,0.4354631006717682,0.011160607449710369,0.01169668510556221
14,0.43419143557548523,0.4601297080516815,0.012740951031446457,0.013197444379329681,0.41386595368385315,0.4373868703842163,0.011437640525400639,0.012083282694220543
15,0.4103865921497345,0.43534043431282043,0.012463102117180824,0.012490703724324703,0.3960816562175751,0.41951680183410645,0.011348115280270576,0.012087048031389713
16,0.4027966260910034,0.42792513966560364,0.012379640713334084,0.012749305926263332,0.4008086323738098,0.42365536093711853,0.011103292927145958,0.01174340583384037
17,0.4147709608078003,0.4399663209915161,0.012242743745446205,0.012952469289302826,0.3969537615776062,0.4195360839366913,0.011090237647294998,0.011492057703435421
18,0.39709579944610596,0.4218883812427521,0.012265893630683422,0.012526784092187881,0.38892674446105957,0.41131332516670227,0.010940923355519772,0.011445608921349049
19,0.3929711878299713,0.4174676835536957,0.012243764474987984,0.012252693995833397,0.3872297406196594,0.4100055694580078,0.011061356402933598,0.011714613065123558
