epoch,loss,offset_loss,onset_loss,val_loss,val_offset_loss,val_onset_loss
0,1.2308214902877808,0.6104829907417297,0.6203383207321167,1.1227459907531738,0.5531778931617737,0.5695680975914001
1,1.1787729263305664,0.6029463410377502,0.5758265256881714,1.0298057794570923,0.5605528950691223,0.4692528545856476
2,1.0193942785263062,0.5613072514533997,0.4580870568752289,0.9336194396018982,0.519352912902832,0.4142666757106781
3,0.9729351997375488,0.5348326563835144,0.43810248374938965,0.8976672887802124,0.498565673828125,0.3991016745567322
4,0.9596514701843262,0.5195540189743042,0.440097451210022,0.9052974581718445,0.5120871663093567,0.3932102620601654
5,0.9096415638923645,0.49830377101898193,0.41133788228034973,0.8617907762527466,0.4826018810272217,0.37918877601623535
6,0.9112780690193176,0.5092253684997559,0.4020525813102722,0.8434804677963257,0.4711032807826996,0.3723772466182709
7,0.8680431246757507,0.4780004620552063,0.39004257321357727,0.8084229826927185,0.45312416553497314,0.35529863834381104
8,0.8660751581192017,0.48615387082099915,0.3799211084842682,0.8227282166481018,0.4575032889842987,0.36522483825683594
9,0.8387470245361328,0.47228294610977173,0.36646443605422974,0.8143072724342346,0.45566242933273315,0.35864484310150146
