epoch,loss,offset_loss,onset_loss,val_loss,val_offset_loss,val_onset_loss
0,1.8571797609329224,0.9226520657539368,0.9345288276672363,1.6832903623580933,0.8339061737060547,0.8493844866752625
1,1.8043861389160156,0.8951324224472046,0.909253716468811,1.6827739477157593,0.8332581520080566,0.8495155572891235
2,1.7319843769073486,0.8859004378318787,0.8460842370986938,1.5754539966583252,0.8457881212234497,0.7296658158302307
3,1.5764175653457642,0.8505576848983765,0.7258592247962952,1.509569525718689,0.8216752409934998,0.6878945827484131
4,1.5309271812438965,0.8224803805351257,0.7084465026855469,1.3940092325210571,0.7711634635925293,0.6228461265563965
5,1.4353017807006836,0.7786786556243896,0.6566232442855835,1.3628647327423096,0.7549386024475098,0.6079260110855103
6,1.4326211214065552,0.792026698589325,0.6405941247940063,1.3295398950576782,0.7376773953437805,0.5918627381324768
7,1.3683851957321167,0.7471296787261963,0.62125563621521,1.310437798500061,0.7353928089141846,0.5750453472137451
8,1.375329613685608,0.7709906101226807,0.6043389439582825,1.3098137378692627,0.7353201508522034,0.5744932293891907
9,1.329482078552246,0.7467164397239685,0.5827652812004089,1.3019789457321167,0.7380126714706421,0.5639663338661194
10,1.3702690601348877,0.7543181777000427,0.6159505248069763,1.2908329963684082,0.7346682548522949,0.5561646223068237
11,1.3478091955184937,0.7530266642570496,0.5947822332382202,1.2719414234161377,0.7165781259536743,0.5553631782531738
12,1.3425772190093994,0.7552316784858704,0.5873457193374634,1.2673736810684204,0.7187008857727051,0.5486728549003601
13,1.3036258220672607,0.7340526580810547,0.5695734620094299,1.2570492029190063,0.715645432472229,0.5414040088653564
14,1.3218401670455933,0.7343736886978149,0.5874664783477783,1.2706594467163086,0.7127952575683594,0.5578641295433044
15,1.2692689895629883,0.7120405435562134,0.5572285652160645,1.2570856809616089,0.7099634408950806,0.5471218824386597
16,1.2745705842971802,0.7108843922615051,0.5636863112449646,1.2506159543991089,0.7160176634788513,0.5345981121063232
17,1.319933295249939,0.7340888977050781,0.5858445167541504,1.2570183277130127,0.7125570178031921,0.5444612503051758
18,1.2667173147201538,0.7122001051902771,0.5545171499252319,1.255242109298706,0.7092188000679016,0.5460231900215149
19,1.2788348197937012,0.7221014499664307,0.5567334890365601,1.242762804031372,0.7016478776931763,0.5411149859428406
